x_obs,y_obs,y_mod
221.6,-6.593,-4.9088300369
158.3,-4.455,-2.8944384024
186.6,-4.037,-3.8511538462
153.2,-2.234,-2.711124574
135.1,-2.306,-2.030950794
68.77,-0.064,0.9358730874
44.54,0.03,2.2535748677
21.96,2.033,3.6263482467
5.7,3.286,4.7157446809
-0.555,5.125,5.1600192285
-1.18,3.76,5.2052281847
-1.18,3.483,5.2052281847
-1.181,3.078,5.2053006401
-1.181,3.886,5.2053006401
-1.181,3.977,5.2053006401
-1.18,5.03,5.2052281847
-1.18,3.624,5.2052281847
-1.181,3.117,5.2053006401
-1.181,8.054,5.2053006401
-1.181,1.747,5.2053006401
-1.18,11.252,5.2052281847
-1.18,5.87,5.2052281847
-1.178,5.559,5.2050832749
-1.173,5.943,5.2047210073
-1.157,3.346,5.2035618161
-0.633,3.628,5.1656530624
37.07,4.613,2.6910680224
88.38,-0.977,-0.0296827658
102.1,0.304,-0.6580339551
119.1,5.077,-1.3881967213
213.1,-1.148,-4.6635402142
353.2,-6.265,-7.9758527877
215.5,-5.488,-4.7335139712
326.4,-8.09,-7.4445851155
448,-12.322,-9.5774483597
497.2,-14.692,-10.2714239853
447.6,-13.24,-9.5714660832
372,-7.136,-8.3257831325
403.3,-10.775,-8.8708775536
595.4,-7.122,-11.4461582852
575.8,-12.776,-11.2310727808
413.7,-9.304,-9.0424191708
566.6,-14.617,-11.1270263381
322.7,-3.227,-7.3680321055
354.7,-5.345,-8.0044346992
103.5,4.85,-0.7201253918
114.2,2.732,-1.1829435814
24.03,3.446,3.4940320277
1.136,6.088,5.0384550269
-1.175,5.827,5.2048659132
-1.176,5.794,5.2049383667
-1.165,5.102,5.2041413993
-1.157,5.5,5.2035618161
-1.118,7.042,5.200736703
-1.051,4.271,5.1958846795
-1.002,2.894,5.1923372852
-1.002,5.351,5.1923372852
-1.034,2.026,5.1946538455
-0.832,6.004,5.1800372025
-0.431,2.739,5.1510677072
86.24,1.569,0.0716954297
154.3,-2.876,-2.7509616475
194.1,-5.387,-4.0887506589
339.9,-9.921,-7.7171800252
550.5,-16.334,-10.9399675851
684.2,-16.895,-12.3208987915
633,-16.789,-11.8353571429
497.1,-9.189,-10.2700928793
680.1,-15.358,-12.2837531987
518.5,-11.207,-10.5481589256
688.7,-17.019,-12.3613387233
190.2,-4.682,-3.9659872611
311.5,-8.409,-7.1312745812
407.3,-11.365,-8.9373948613
270.5,-8.134,-6.1944848954
62.47,1.143,1.2644441905
-0.53,4.501,5.1582140091
-0.517,6.858,5.1572753903
-0.506,2.349,5.1564812253
-0.518,4.826,5.1573475895
-0.518,4.55,5.1573475895
-0.526,2.888,5.1579251964
-0.539,5.932,5.1588638603
-0.53,7.572,5.1582140091
-0.493,4.347,5.1555427268
-0.481,4.307,5.1546764784
-0.238,5.289,5.1371468826
5.298,5.676,4.7438581323
23.79,2.559,3.5093026405
47.19,1.224,2.1020933703
208.6,-3.698,-4.5307882111
468,-18.305,-9.8693238434
631.5,-9.862,-11.8203874814
486.8,-10.417,-10.1313344163
783.8,-11.238,-13.1425129444
1035,-20.886,-14.6991489362
461.5,-8.54,-9.7759952182
331.2,-7.269,-7.5427017842
860.2,-12.532,-13.6829468912
815.5,-9.186,-13.3751700966
755,-6.055,-12.9198230088
623.7,-8.258,-11.7418203665
561.2,-9.508,-11.0650032044
403.9,-9.288,-8.8808987033
245.3,-3.749,-5.5572529421
-1.011,7.39,5.1929887777
-0.991,7.133,5.1915410592
-0.981,6.811,5.1908172579
-0.983,2.778,5.1909620151
-0.97,3.247,5.1900211213
-0.935,4.27,5.1874882708
-0.922,5.682,5.1865476184
-0.9,3.076,5.1849558941
-0.959,6.507,5.1892250315
